npm verbose cli C:\Program Files\nodejs\node.exe C:\Program Files\nodejs\node_modules\npm\bin\npm-cli.js
npm info using npm@11.6.2
npm info using node@v25.2.1
npm verbose title npm install
npm verbose argv "install" "--loglevel" "verbose"
npm verbose logfile logs-max:10 dir:C:\Users\Monishwar Reddy\AppData\Local\npm-cache\_logs\2026-05-09T08_39_29_518Z-
npm verbose logfile C:\Users\Monishwar Reddy\AppData\Local\npm-cache\_logs\2026-05-09T08_39_29_518Z-debug-0.log
npm http cache https://registry.npmjs.org/concurrently 15ms (cache hit)
npm http cache https://registry.npmjs.org/chalk 20ms (cache hit)
npm http cache https://registry.npmjs.org/yargs 23ms (cache hit)
npm http cache https://registry.npmjs.org/tree-kill 27ms (cache hit)
npm http cache https://registry.npmjs.org/rxjs 33ms (cache hit)
npm http cache https://registry.npmjs.org/shell-quote 41ms (cache hit)
npm http cache https://registry.npmjs.org/supports-color 43ms (cache hit)
npm http cache https://registry.npmjs.org/ansi-styles 27ms (cache hit)
npm http cache https://registry.npmjs.org/tslib 28ms (cache hit)
npm http cache https://registry.npmjs.org/string-width 29ms (cache hit)
npm http cache https://registry.npmjs.org/escalade 30ms (cache hit)
npm http cache https://registry.npmjs.org/y18n 32ms (cache hit)
npm http cache https://registry.npmjs.org/has-flag 34ms (cache hit)
npm http cache https://registry.npmjs.org/cliui 34ms (cache hit)
npm http cache https://registry.npmjs.org/require-directory 35ms (cache hit)
npm http cache https://registry.npmjs.org/yargs-parser 36ms (cache hit)
npm http cache https://registry.npmjs.org/get-caller-file 39ms (cache hit)
npm http cache https://registry.npmjs.org/color-convert 5ms (cache hit)
npm http cache https://registry.npmjs.org/color-name 6ms (cache hit)
npm http cache https://registry.npmjs.org/wrap-ansi 15ms (cache hit)
npm http cache https://registry.npmjs.org/emoji-regex 16ms (cache hit)
npm http cache https://registry.npmjs.org/is-fullwidth-code-point 16ms (cache hit)
npm http cache https://registry.npmjs.org/strip-ansi 18ms (cache hit)
npm http cache https://registry.npmjs.org/strip-ansi 22ms (cache hit)
npm http cache https://registry.npmjs.org/ansi-regex 6ms (cache hit)
npm http cache https://registry.npmjs.org/@copilotkit%2fruntime 16ms (cache hit)
npm http cache https://registry.npmjs.org/@anthropic-ai%2fsdk 7ms (cache hit)
npm http cache https://registry.npmjs.org/@langchain%2faws 5ms (cache hit)
